pair,word_x,word_y,scores,qtype
word-similarity,word,similarity,"[1.0, 1.0, 5.0, 5.0, 6.8, 0.0, 2.0, 4.0, 4.0, 3.0, 0.0, 9.5, 4.5, 5.0, 0.0, 3.0, 4.0, 2.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 0.0, 4.0, 7.0, 8.0, 0.5, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 3.0, 4.0, 0.0, 0.0, 5.0, 3.0, 1.0, 2.0, 5.0, 1.0, 5.0, 2.0, 2.0, 2.0]",sim
tiger-jaguar,tiger,jaguar,"[9.0, 10.0, 1.0, 7.0, 7.5, 8.0, 9.0, 7.0, 3.0, 8.0, 8.0, 7.3, 7.5, 3.0, 6.0, 9.0, 3.0, 7.0, 8.0, 5.0, 7.0, 4.0, 8.0, 9.0, 9.0, 9.0, 8.5, 4.0, 8.0, 8.0, 8.0, 8.0, 4.0, 1.7, 7.0, 7.0, 7.0, 5.0, 9.0, 6.0, 5.0, 8.0, 10.0, 8.0, 7.0, 7.0, 7.5, 7.5, 9.0, 9.0]",sim
territory-kilometer,territory,kilometer,"[3.0, 6.0, 4.0, 5.0, 5.9, 5.0, 5.0, 0.0, 6.0, 5.0, 4.0, 0.0, 4.0, 1.0, 0.0, 6.0, 6.0, 1.0, 0.0, 6.0, 3.0, 3.0, 3.0, 6.0, 5.0, 8.0, 8.0, 4.0, 0.0, 5.0, 4.0, 3.0, 4.0, 0.0, 3.0, 1.0, 7.0, 6.0, 1.0, 1.0, 5.0, 0.0, 2.0, 3.0, 6.0, 5.0, 2.5, 4.5, 7.0, 4.0]",sim
stock-phone,stock,phone,"[0.0, 0.0, 3.0, 4.0, 7.9, 0.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0, 2.5, 1.0, 0.0, 3.0, 5.0, 1.0, 0.0, 5.0, 1.0, 4.0, 0.0, 2.0, 0.0, 5.0, 5.0, 8.0, 0.0, 1.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.5, 0.0, 5.0, 5.5, 1.0, 1.0, 7.0, 1.0, 2.0, 0.0, 5.0, 2.0]",sim
start-year,start,year,"[2.0, 3.0, 8.0, 4.0, 4.8, 2.0, 2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0, 3.0, 2.0, 1.0, 5.0, 4.0, 4.0, 2.0, 2.0, 0.0, 3.0, 6.0, 10.0, 2.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 3.0, 5.0, 1.0, 2.0, 4.0, 5.0, 5.0, 2.0, 3.0, 2.0, 3.0, 4.0, 4.0, 3.0]",sim
shower-flood,shower,flood,"[3.0, 4.0, 5.0, 5.0, 3.2, 0.0, 8.0, 4.0, 5.0, 4.0, 2.0, 3.0, 3.5, 2.0, 3.0, 2.0, 4.0, 5.0, 2.0, 4.0, 3.0, 5.0, 2.0, 6.0, 7.0, 6.0, 8.5, 8.0, 7.0, 5.0, 4.0, 3.0, 1.0, 0.0, 2.0, 1.0, 7.0, 3.0, 2.0, 0.0, 6.0, 5.0, 5.0, 3.0, 9.0, 5.0, 1.0, 3.5, 6.5, 4.0]",sim
seafood-sea,seafood,sea,"[4.0, 8.0, 3.0, 6.0, 8.0, 3.0, 9.0, 6.0, 4.0, 8.0, 8.0, 10.0, 7.5, 9.0, 1.0, 8.0, 8.0, 8.0, 5.0, 4.0, 4.0, 7.0, 8.5, 3.0, 7.0, 8.0, 9.5, 3.0, 9.2, 9.0, 8.0, 7.0, 8.0, 5.6, 3.0, 8.0, 9.0, 6.0, 9.0, 9.0, 5.0, 9.5, 10.0, 5.0, 7.0, 8.0, 9.5, 2.5, 9.0, 5.0]",sim
school-center,school,center,"[5.0, 6.0, 4.0, 5.0, 6.0, 0.0, 4.0, 4.0, 8.0, 0.0, 3.0, 6.1, 3.0, 4.0, 0.0, 3.0, 3.0, 3.0, 1.0, 8.0, 3.0, 4.0, 5.0, 3.0, 0.0, 3.0, 6.5, 9.0, 4.0, 1.0, 1.0, 1.0, 3.0, 0.0, 4.0, 1.0, 6.0, 3.0, 5.0, 1.0, 5.0, 5.0, 6.0, 1.0, 7.0, 5.0, 1.0, 2.0, 4.0, 4.0]",sim
record-number,record,number,"[5.0, 5.0, 4.0, 7.0, 6.7, 3.0, 5.0, 0.0, 6.0, 2.0, 5.0, 8.1, 5.5, 2.0, 0.0, 5.0, 8.0, 3.0, 6.0, 5.0, 7.0, 5.0, 3.0, 5.0, 1.0, 7.0, 8.5, 3.0, 6.0, 4.0, 5.0, 4.0, 6.0, 0.0, 5.0, 0.0, 7.0, 6.0, 1.0, 8.0, 6.0, 3.0, 2.0, 4.0, 6.0, 4.0, 2.5, 3.5, 6.0, 4.0]",sim
planet-people,planet,people,"[1.0, 3.0, 8.0, 3.0, 8.1, 0.0, 3.0, 6.0, 4.0, 5.0, 0.0, 0.0, 2.0, 6.0, 0.0, 3.0, 5.0, 1.0, 3.0, 5.0, 3.0, 6.0, 1.0, 2.0, 0.0, 3.0, 6.0, 5.0, 2.0, 3.0, 2.0, 0.0, 5.0, 0.0, 0.0, 7.0, 5.0, 2.0, 1.5, 1.0, 5.0, 7.5, 3.0, 4.0, 8.0, 4.0, 1.5, 0.0, 6.0, 3.0]",sim
